,crime_type,Latitude,Longitude,Location,Month
129,Bicycle theft,52.03898,-1.103687,On or near Airport/Airfield,2018-08
345,Bicycle theft,51.825568,-0.811423,On or near Drayton Road,2018-08
385,Bicycle theft,51.829117,-0.8418479999999999,On or near Robinson Close,2018-08
531,Bicycle theft,51.816167,-0.7977,On or near Victoria Street,2018-08
562,Bicycle theft,51.814453,-0.808597,On or near Park/Open Space,2018-08
615,Bicycle theft,51.814988,-0.8117310000000001,On or near Walton Street,2018-08
616,Bicycle theft,51.815338,-0.813491,On or near Friars Square Shopping Centre,2018-08
652,Bicycle theft,51.817569,-0.81085,On or near Shopping Area,2018-08
653,Bicycle theft,51.818593,-0.811679,On or near Parking Area,2018-08
654,Bicycle theft,51.817569,-0.81085,On or near Shopping Area,2018-08
655,Bicycle theft,51.817296,-0.809653,On or near Hale Street,2018-08
723,Bicycle theft,51.808138,-0.830723,On or near Dormer Close,2018-08
790,Bicycle theft,51.804224,-0.816974,On or near Churchill Avenue,2018-08
798,Bicycle theft,51.811977,-0.8199190000000001,On or near Leach Road,2018-08
829,Bicycle theft,51.812971999999995,-0.815149,On or near Coxhill Way,2018-08
865,Bicycle theft,51.799236,-0.797686,On or near Sports/Recreation Area,2018-08
895,Bicycle theft,51.803715999999994,-0.8255440000000001,On or near Cornbrook Road,2018-08
946,Bicycle theft,51.798883000000004,-0.7141350000000001,On or near Lower Icknield Way,2018-08
952,Bicycle theft,51.791703000000005,-0.758882,On or near Middle Field,2018-08
1005,Bicycle theft,51.762612,-0.746726,On or near Forest Close,2018-08
1007,Bicycle theft,51.78038,-0.7367090000000001,On or near The Orchard,2018-08
1140,Bicycle theft,51.421504,-0.764994,On or near Windlesham Road,2018-08
1154,Bicycle theft,51.414283000000005,-0.760687,On or near Pedestrian Subway,2018-08
1155,Bicycle theft,51.419375,-0.7609239999999999,On or near Honeyhill Road,2018-08
1224,Bicycle theft,51.408807,-0.725494,On or near Whitton Road,2018-08
1312,Bicycle theft,51.413429,-0.749768,On or near Pedestrian Subway,2018-08
1478,Bicycle theft,51.392827000000004,-0.753046,On or near Liscombe,2018-08
1484,Bicycle theft,51.401769,-0.746635,On or near Pedestrian Subway,2018-08
1485,Bicycle theft,51.401769,-0.746635,On or near Pedestrian Subway,2018-08
1507,Bicycle theft,51.396469,-0.769233,On or near Holbeck,2018-08
1510,Bicycle theft,51.395038,-0.7571399999999999,On or near Earlswood,2018-08
1529,Bicycle theft,51.367289,-0.818972,On or near Heatherdene Avenue,2018-08
1628,Bicycle theft,52.074764,-1.35075,On or near Hearthway,2018-08
1729,Bicycle theft,52.060598,-1.339914,On or near Parking Area,2018-08
1802,Bicycle theft,52.073119,-1.320383,On or near Wildmere Road,2018-08
1830,Bicycle theft,52.070068,-1.337207,On or near Pipe Line,2018-08
1877,Bicycle theft,52.067009999999996,-1.322824,On or near East Close,2018-08
1900,Bicycle theft,52.058966999999996,-1.329655,On or near Haslemere Way,2018-08
2029,Bicycle theft,52.056976,-1.332135,On or near Supermarket,2018-08
2082,Bicycle theft,51.999858,-1.478415,On or near Orchard Road,2018-08
2318,Bicycle theft,51.892804,-1.157298,On or near Parking Area,2018-08
2319,Bicycle theft,51.896751,-1.1497549999999999,On or near Nightclub,2018-08
2656,Bicycle theft,51.707002,-0.6110180000000001,On or near Supermarket,2018-08
2861,Bicycle theft,51.630365999999995,-0.563311,On or near Outlook Drive,2018-08
3085,Bicycle theft,52.085634000000006,-0.719104,On or near Park View,2018-08
3219,Bicycle theft,52.063829999999996,-0.73573,On or near Lanfranc Gardens,2018-08
3235,Bicycle theft,52.05795,-0.744167,On or near Overstreet,2018-08
3256,Bicycle theft,52.060389,-0.812947,On or near Cambridge Street,2018-08
3400,Bicycle theft,52.06064,-0.824507,On or near Sports/Recreation Area,2018-08
3450,Bicycle theft,52.051226,-0.811862,On or near Rossal Place,2018-08
3561,Bicycle theft,52.043852,-0.7827350000000001,On or near Pedestrian Subway,2018-08
3595,Bicycle theft,52.049397,-0.756598,On or near Speedwell Place,2018-08
3641,Bicycle theft,52.047338,-0.72383,On or near Pedestrian Subway,2018-08
3642,Bicycle theft,52.047338,-0.72383,On or near Pedestrian Subway,2018-08
3673,Bicycle theft,52.044508,-0.753394,On or near Central Milton Keynes Shopping Centre,2018-08
3674,Bicycle theft,52.042808,-0.757612,On or near Central Milton Keynes Shopping Centre,2018-08
3675,Bicycle theft,52.046966,-0.752918,On or near North Thirteenth Street,2018-08
3676,Bicycle theft,52.042984999999994,-0.753976,On or near Secklow Gate,2018-08
3677,Bicycle theft,52.041078000000006,-0.7572369999999999,On or near Shopping Area,2018-08
3678,Bicycle theft,52.042808,-0.757612,On or near Central Milton Keynes Shopping Centre,2018-08
3679,Bicycle theft,52.040934,-0.758947,On or near Pedestrian Subway,2018-08
3680,Bicycle theft,52.037556,-0.75837,On or near South Seventh Street,2018-08
3681,Bicycle theft,52.046966,-0.752918,On or near North Thirteenth Street,2018-08
3682,Bicycle theft,52.042808,-0.757612,On or near Central Milton Keynes Shopping Centre,2018-08
3683,Bicycle theft,52.043964,-0.7487729999999999,On or near Theatre/Concert Hall,2018-08
3684,Bicycle theft,52.04156,-0.748402,On or near Marlborough Gate Milton Keynes,2018-08
3844,Bicycle theft,52.033431,-0.7731640000000001,On or near Parking Area,2018-08
3845,Bicycle theft,52.035755,-0.775258,On or near Parking Area,2018-08
3846,Bicycle theft,52.033431,-0.7731640000000001,On or near Parking Area,2018-08
3847,Bicycle theft,52.035382,-0.77225,On or near Elder Gate,2018-08
3848,Bicycle theft,52.033431,-0.7731640000000001,On or near Parking Area,2018-08
3849,Bicycle theft,52.036851,-0.763185,On or near Pedestrian Subway,2018-08
3850,Bicycle theft,52.039211,-0.7610060000000001,On or near Nightclub,2018-08
3851,Bicycle theft,52.037997999999995,-0.7644810000000001,On or near Pedestrian Subway,2018-08
3852,Bicycle theft,52.033431,-0.7731640000000001,On or near Parking Area,2018-08
3853,Bicycle theft,52.033431,-0.7731640000000001,On or near Parking Area,2018-08
3854,Bicycle theft,52.037892,-0.775039,On or near Sports/Recreation Area,2018-08
3855,Bicycle theft,52.033431,-0.7731640000000001,On or near Parking Area,2018-08
4054,Bicycle theft,52.034763,-0.688952,On or near Shopping Area,2018-08
4218,Bicycle theft,52.022824,-0.734263,On or near Supermarket,2018-08
4219,Bicycle theft,52.024514,-0.7350899999999999,On or near Pedestrian Subway,2018-08
4326,Bicycle theft,52.016740000000006,-0.793686,On or near Chalkdell Drive,2018-08
4449,Bicycle theft,52.025667999999996,-0.7616569999999999,On or near Shopping Area,2018-08
4450,Bicycle theft,52.028975,-0.762324,On or near Pedestrian Subway,2018-08
4688,Bicycle theft,52.009171,-0.7305689999999999,On or near Pedestrian Subway,2018-08
4884,Bicycle theft,52.007827,-0.752898,On or near Sutherland Grove,2018-08
4988,Bicycle theft,51.995622999999995,-0.761088,On or near Thames Close,2018-08
5143,Bicycle theft,51.979915999999996,-0.726591,On or near Fern Grove,2018-08
5263,Bicycle theft,51.77903,-1.265973,On or near Shopping Area,2018-08
5279,Bicycle theft,51.786082,-1.266438,On or near Cavendish Road,2018-08
5280,Bicycle theft,51.786082,-1.266438,On or near Cavendish Road,2018-08
5281,Bicycle theft,51.786335,-1.263723,On or near Bodley Place,2018-08
5309,Bicycle theft,51.768954,-1.269339,On or near Hayfield Road,2018-08
5310,Bicycle theft,51.773041,-1.273012,On or near Complins Close,2018-08
5313,Bicycle theft,51.766940000000005,-1.2635610000000002,On or near Further/Higher Educational Building,2018-08
5318,Bicycle theft,51.770672999999995,-1.2300799999999998,On or near Dents Close,2018-08
5344,Bicycle theft,51.768966,-1.203285,On or near Atkinson Close,2018-08
5345,Bicycle theft,51.767449,-1.195805,On or near Supermarket,2018-08
5401,Bicycle theft,51.759698,-1.211634,On or near Supermarket,2018-08
5414,Bicycle theft,51.754523,-1.2121879999999998,On or near Nursery Close,2018-08
5415,Bicycle theft,51.75703,-1.216056,On or near The Brambles,2018-08
5421,Bicycle theft,51.764452,-1.212566,On or near St Andrew'S Road,2018-08
5478,Bicycle theft,51.759288,-1.205411,On or near Wharton Road,2018-08
5526,Bicycle theft,51.755758,-1.244199,On or near Further/Higher Educational Building,2018-08
5527,Bicycle theft,51.754327,-1.259564,On or near Supermarket,2018-08
5528,Bicycle theft,51.752956,-1.2587760000000001,On or near Nightclub,2018-08
5529,Bicycle theft,51.754327,-1.259564,On or near Supermarket,2018-08
5530,Bicycle theft,51.751332,-1.259454,On or near Shopping Area,2018-08
5531,Bicycle theft,51.754695,-1.259442,On or near Nightclub,2018-08
5532,Bicycle theft,51.752852000000004,-1.2681360000000002,On or near Park End Street,2018-08
5533,Bicycle theft,51.751894,-1.255809,On or near Alfred Street,2018-08
5534,Bicycle theft,51.751332,-1.259454,On or near Shopping Area,2018-08
