,Crime type,Latitude,Longitude,Location,Month
318,Bicycle theft,51.82819,-0.812878,On or near Coniston Green,2018-07
377,Bicycle theft,51.830079,-0.8363520000000001,On or near Essex Place,2018-07
392,Bicycle theft,51.823382,-0.834725,On or near Broadfields,2018-07
460,Bicycle theft,51.828053999999995,-0.817249,On or near Parker Walk,2018-07
498,Bicycle theft,51.819563,-0.8053279999999999,On or near Park Street,2018-07
499,Bicycle theft,51.816373999999996,-0.8003640000000001,On or near Supermarket,2018-07
538,Bicycle theft,51.815171,-0.8013819999999999,On or near A41,2018-07
559,Bicycle theft,51.820217,-0.808633,On or near Parking Area,2018-07
597,Bicycle theft,51.81563,-0.8130189999999999,On or near Shopping Area,2018-07
598,Bicycle theft,51.81563,-0.8130189999999999,On or near Shopping Area,2018-07
599,Bicycle theft,51.815338,-0.813491,On or near Friars Square Shopping Centre,2018-07
600,Bicycle theft,51.812298999999996,-0.80816,On or near Walton Street,2018-07
601,Bicycle theft,51.81361,-0.805297,On or near Pennefather Court,2018-07
639,Bicycle theft,51.817644,-0.819263,On or near Oxford Road,2018-07
852,Bicycle theft,51.798149,-0.8057489999999999,On or near Lower Road,2018-07
925,Bicycle theft,51.801656,-0.8226540000000001,On or near Parking Area,2018-07
1011,Bicycle theft,51.765091999999996,-0.744077,On or near Aylesbury Road,2018-07
1110,Bicycle theft,51.420967,-0.7257600000000001,On or near Julius Hill,2018-07
1143,Bicycle theft,51.424291,-0.765796,On or near Coppice Green,2018-07
1222,Bicycle theft,51.410107,-0.743488,On or near Valiant Drive,2018-07
1260,Bicycle theft,51.415794,-0.734632,On or near Parking Area,2018-07
1287,Bicycle theft,51.401921,-0.756709,On or near South Lynn Crescent,2018-07
1288,Bicycle theft,51.404495000000004,-0.756078,On or near Supermarket,2018-07
1327,Bicycle theft,51.416301000000004,-0.750897,On or near Shopping Area,2018-07
1328,Bicycle theft,51.417951,-0.753024,On or near Bond Way,2018-07
1329,Bicycle theft,51.417093,-0.7535069999999999,On or near Parking Area,2018-07
1330,Bicycle theft,51.416301000000004,-0.750897,On or near Shopping Area,2018-07
1469,Bicycle theft,51.391967,-0.7389979999999999,On or near Guerdon Place,2018-07
1493,Bicycle theft,51.401769,-0.746635,On or near Pedestrian Subway,2018-07
1520,Bicycle theft,51.388594,-0.7591680000000001,On or near Northcott,2018-07
1566,Bicycle theft,51.356029,-0.775875,On or near Oxford Road,2018-07
1649,Bicycle theft,52.074764,-1.35075,On or near Hearthway,2018-07
1650,Bicycle theft,52.080389000000004,-1.342001,On or near Lord Elwood Road,2018-07
1725,Bicycle theft,52.062992,-1.3500889999999999,On or near Hilton Road,2018-07
1739,Bicycle theft,52.059197,-1.353237,On or near Tithe Court,2018-07
1740,Bicycle theft,52.059197,-1.353237,On or near Tithe Court,2018-07
1760,Bicycle theft,52.062292,-1.332552,On or near Shopping Area,2018-07
1761,Bicycle theft,52.062552000000004,-1.3341379999999998,On or near Shopping Area,2018-07
1866,Bicycle theft,52.065672,-1.334135,On or near Parking Area,2018-07
1897,Bicycle theft,52.066663,-1.325061,On or near Centre Street,2018-07
1915,Bicycle theft,52.064565,-1.321388,On or near Howard Road,2018-07
1916,Bicycle theft,52.063492,-1.325547,On or near Duke Street,2018-07
1976,Bicycle theft,52.06566,-1.354529,On or near Abbey Road,2018-07
1990,Bicycle theft,52.061408,-1.366391,On or near Dover Avenue,2018-07
2001,Bicycle theft,52.064316999999996,-1.3540379999999999,On or near Miller Road,2018-07
2027,Bicycle theft,52.057836,-1.3428280000000001,On or near Beargarden Road,2018-07
2111,Bicycle theft,52.047007,-1.324526,On or near Harewood Road,2018-07
2133,Bicycle theft,52.040175,-1.3263209999999999,On or near Park End,2018-07
2189,Bicycle theft,51.870503,-1.127257,On or near Laburnum Close,2018-07
2301,Bicycle theft,51.908767,-1.136619,On or near Lerwick Croft,2018-07
2315,Bicycle theft,51.903048999999996,-1.150261,On or near Parking Area,2018-07
2340,Bicycle theft,51.899322999999995,-1.157249,On or near Queens Avenue,2018-07
2341,Bicycle theft,51.899322999999995,-1.157249,On or near Queens Avenue,2018-07
2420,Bicycle theft,51.898551,-1.15116,On or near Supermarket,2018-07
2421,Bicycle theft,51.898834,-1.1568370000000001,On or near Queens Court,2018-07
2422,Bicycle theft,51.896421000000004,-1.152609,On or near Causeway,2018-07
2599,Bicycle theft,51.824409,-1.279151,On or near Mill Street,2018-07
2621,Bicycle theft,51.819602,-1.275267,On or near Edinburgh Drive,2018-07
2627,Bicycle theft,51.815351,-1.281442,On or near Oxford Road,2018-07
2937,Bicycle theft,51.674455,-0.601427,On or near Darlington Close,2018-07
2949,Bicycle theft,51.675695000000005,-0.590831,On or near Park Place,2018-07
2981,Bicycle theft,51.664479,-0.607967,On or near Washington Row,2018-07
3021,Bicycle theft,51.628678,-0.584284,On or near Meadow View,2018-07
3234,Bicycle theft,52.083835,-0.747483,On or near Motorway Service Area,2018-07
3252,Bicycle theft,52.083113,-0.730428,On or near Broad Street,2018-07
3257,Bicycle theft,52.08749,-0.7436590000000001,On or near Supermarket,2018-07
3353,Bicycle theft,52.073289,-0.74502,On or near Knebworth Gate,2018-07
3432,Bicycle theft,52.066497,-0.7832720000000001,On or near Meads Close,2018-07
3533,Bicycle theft,52.065635,-0.807118,On or near Earlestown Way,2018-07
3676,Bicycle theft,52.06064,-0.824507,On or near Sports/Recreation Area,2018-07
3731,Bicycle theft,52.049202,-0.7749189999999999,On or near The Craven,2018-07
3844,Bicycle theft,52.042992,-0.77608,On or near Supermarket,2018-07
3963,Bicycle theft,52.050881,-0.7172390000000001,On or near Park/Open Space,2018-07
3964,Bicycle theft,52.047338,-0.72383,On or near Pedestrian Subway,2018-07
3965,Bicycle theft,52.050881,-0.7172390000000001,On or near Park/Open Space,2018-07
4015,Bicycle theft,52.04156,-0.748402,On or near Marlborough Gate Milton Keynes,2018-07
4016,Bicycle theft,52.042259,-0.758414,On or near Shopping Area,2018-07
4017,Bicycle theft,52.042259,-0.758414,On or near Shopping Area,2018-07
4018,Bicycle theft,52.041196,-0.75649,On or near Central Milton Keynes Shopping Centre,2018-07
4019,Bicycle theft,52.042808,-0.757612,On or near Central Milton Keynes Shopping Centre,2018-07
4020,Bicycle theft,52.042259,-0.758414,On or near Shopping Area,2018-07
4021,Bicycle theft,52.04156,-0.748402,On or near Marlborough Gate Milton Keynes,2018-07
4022,Bicycle theft,52.04156,-0.748402,On or near Marlborough Gate Milton Keynes,2018-07
4023,Bicycle theft,52.042806,-0.764304,On or near North Seventh Street,2018-07
4202,Bicycle theft,52.033431,-0.7731640000000001,On or near Parking Area,2018-07
4203,Bicycle theft,52.040294,-0.757973,On or near Parking Area,2018-07
4204,Bicycle theft,52.033431,-0.7731640000000001,On or near Parking Area,2018-07
4205,Bicycle theft,52.033431,-0.7731640000000001,On or near Parking Area,2018-07
4206,Bicycle theft,52.037493,-0.76951,On or near Upper Second Street,2018-07
4207,Bicycle theft,52.033431,-0.7731640000000001,On or near Parking Area,2018-07
4208,Bicycle theft,52.033431,-0.7731640000000001,On or near Parking Area,2018-07
4209,Bicycle theft,52.035755,-0.775258,On or near Parking Area,2018-07
4210,Bicycle theft,52.038478000000005,-0.767412,On or near Upper Fourth Street,2018-07
4211,Bicycle theft,52.035755,-0.775258,On or near Parking Area,2018-07
4212,Bicycle theft,52.033431,-0.7731640000000001,On or near Parking Area,2018-07
4213,Bicycle theft,52.033431,-0.7731640000000001,On or near Parking Area,2018-07
4405,Bicycle theft,52.03767,-0.708739,On or near Pedestrian Subway,2018-07
4424,Bicycle theft,52.03519,-0.6999029999999999,On or near St Bartholomews,2018-07
4437,Bicycle theft,52.037362,-0.676149,On or near Newport Road,2018-07
4596,Bicycle theft,52.03777,-0.743784,On or near Supermarket,2018-07
4619,Bicycle theft,52.022502,-0.734418,On or near Parking Area,2018-07
4620,Bicycle theft,52.022824,-0.734263,On or near Supermarket,2018-07
4797,Bicycle theft,52.025858,-0.7841859999999999,On or near London Road,2018-07
4872,Bicycle theft,52.025667999999996,-0.7616569999999999,On or near Shopping Area,2018-07
4873,Bicycle theft,52.025667999999996,-0.7616569999999999,On or near Shopping Area,2018-07
4874,Bicycle theft,52.031661,-0.765559,On or near Pedestrian Subway,2018-07
4875,Bicycle theft,52.029475,-0.7611,On or near Duckworth Court,2018-07
4940,Bicycle theft,52.022055,-0.687823,On or near Fyfield Barrow,2018-07
4941,Bicycle theft,52.021995000000004,-0.685697,On or near Sipthorp Close,2018-07
4976,Bicycle theft,52.018466,-0.692562,On or near Quince Close,2018-07
5015,Bicycle theft,52.020902,-0.729479,On or near Beadlemead,2018-07
5053,Bicycle theft,52.019855,-0.740847,On or near Capron,2018-07
5215,Bicycle theft,52.004141,-0.794345,On or near Supermarket,2018-07
5334,Bicycle theft,52.00465,-0.75507,On or near Berwick Drive,2018-07
5450,Bicycle theft,52.001139,-0.766646,On or near Pedestrian Subway,2018-07
5546,Bicycle theft,51.996774,-0.72738,On or near Park/Open Space,2018-07
5767,Bicycle theft,51.790565,-1.267192,On or near Templar Road,2018-07
5771,Bicycle theft,51.777182,-1.2665389999999999,On or near Stratfield Road,2018-07
5780,Bicycle theft,51.780082,-1.267347,On or near Grove Street,2018-07
5781,Bicycle theft,51.775104999999996,-1.266515,On or near Thorncliffe Road,2018-07
5800,Bicycle theft,51.787686,-1.264122,On or near Wyatt Road,2018-07
5818,Bicycle theft,51.762463000000004,-1.2694,On or near Longworth Road,2018-07
5819,Bicycle theft,51.762463000000004,-1.2694,On or near Longworth Road,2018-07
5820,Bicycle theft,51.763799,-1.271668,On or near Rutherway,2018-07
5821,Bicycle theft,51.765721,-1.2670290000000002,On or near Farndon Road,2018-07
5831,Bicycle theft,51.776123,-1.264063,On or near Diamond Place,2018-07
5832,Bicycle theft,51.772494,-1.254615,On or near Sports/Recreation Area,2018-07
5846,Bicycle theft,51.771181,-1.271709,On or near Frenchay Road,2018-07
5873,Bicycle theft,51.760165,-1.23462,On or near Moody Road,2018-07
5967,Bicycle theft,51.760708,-1.210718,On or near Supermarket,2018-07
6070,Bicycle theft,51.758967,-1.253939,On or near Further/Higher Educational Building,2018-07
6071,Bicycle theft,51.754327,-1.259564,On or near Supermarket,2018-07
6072,Bicycle theft,51.757202,-1.2606620000000002,On or near Wellington Place,2018-07
6073,Bicycle theft,51.753712,-1.2575610000000002,On or near Ship Street,2018-07
6074,Bicycle theft,51.753308000000004,-1.256206,On or near Turl Street,2018-07
6075,Bicycle theft,51.752189,-1.2569629999999998,On or near Nightclub,2018-07
6076,Bicycle theft,51.753712,-1.2575610000000002,On or near Ship Street,2018-07
6077,Bicycle theft,51.755294,-1.253217,On or near Theatre/Concert Hall,2018-07
6078,Bicycle theft,51.753169,-1.255556,On or near Further/Higher Educational Building,2018-07
6079,Bicycle theft,51.753240999999996,-1.264131,On or near Parking Area,2018-07
6080,Bicycle theft,51.754327,-1.259564,On or near Supermarket,2018-07
6081,Bicycle theft,51.754327,-1.259564,On or near Supermarket,2018-07
6082,Bicycle theft,51.753842,-1.26105,On or near Further/Higher Educational Building,2018-07
6083,Bicycle theft,51.754695,-1.259442,On or near Nightclub,2018-07
6084,Bicycle theft,51.754115999999996,-1.2617260000000001,On or near Parking Area,2018-07
6085,Bicycle theft,51.75065,-1.258234,On or near Pembroke Street,2018-07
6086,Bicycle theft,51.754327,-1.259564,On or near Supermarket,2018-07
6087,Bicycle theft,51.754695,-1.259442,On or near Nightclub,2018-07
